"common_name","year","phase","tree_id","doy_mean","doy_median","obs_number","first_doy","last_doy","maximn_range","interquartile_range"
"American beech",2017,"Increasing leaf size",86276,135.166666666667,130.5,12,117,166,49,20.75
"American beech",2017,"Increasing leaf size",135343,123.3125,119.5,16,110,147,37,16.75
"American beech",2017,"Increasing leaf size",135911,132.823529411765,129,17,113,166,53,22
"American beech",2017,"leaf drop",86274,299.636363636364,303,11,264,325,61,13.5
"American beech",2017,"leaf drop",86275,305.181818181818,305.5,22,256,330,74,22
"American beech",2017,"leaf drop",86276,304.666666666667,304.5,6,287,323,36,2.5
"American beech",2017,"leaf drop",135343,302.555555555556,304,9,285,325,40,19
"American beech",2017,"leaf drop",135911,299.666666666667,304,21,256,330,74,29
"American beech",2017,"leafout",86273,127,127,4,113,141,28,16
"American beech",2017,"leafout",86274,203.028571428571,183,35,117,323,206,138.5
"American beech",2017,"leafout",86275,206.277227722772,191,101,112,330,218,133
"American beech",2017,"leafout",86276,195.5625,164.5,32,117,323,206,142.75
"American beech",2017,"leafout",135343,198.285714285714,182,49,110,325,215,127
"American beech",2017,"leafout",135911,214.592592592593,220,81,113,325,212,118
"American beech",2017,"Open flowers",86273,113,113,1,113,113,0,0
"American beech",2017,"Open flowers",86274,127.75,127.5,4,124,132,8,4.25
"American beech",2017,"Open flowers",86275,121.1,118.5,10,117,132,15,5.25
"American beech",2017,"Open flowers",86276,124.6,126,5,118,132,14,11
"American beech",2017,"Open flowers",135343,119,118,7,113,126,13,7
"American beech",2017,"Open flowers",135911,127.5,127.5,2,126,129,3,1.5
"American beech",2017,"Recent fruit or seed drop",86273,274,274,1,274,274,0,0
"American beech",2017,"Recent fruit or seed drop",86274,282.2,284,10,253,305,52,20.75
"American beech",2017,"Recent fruit or seed drop",86275,278.47619047619,279,21,247,305,58,35
"American beech",2017,"Recent fruit or seed drop",86276,275.333333333333,274,3,274,278,4,2
"American beech",2017,"Recent fruit or seed drop",135343,277.714285714286,274,7,253,305,52,26
"American beech",2017,"Recent fruit or seed drop",135911,277.8,276,10,255,305,50,15.5
"American beech",2017,"Ripe fruits",86275,257.777777777778,256,9,247,279,32,6
"American beech",2017,"Ripe fruits",86276,264,264,1,264,264,0,0
"American beech",2017,"Ripe fruits",135343,258.857142857143,256,7,248,274,26,13
"American beech",2017,"Ripe fruits",135911,262.25,257.5,4,255,279,24,8.25
"American beech",2018,"budburst",86275,122.25,122,4,122,123,1,0.25
"American beech",2018,"budburst",86276,122.5,122.5,2,122,123,1,0.5
"American beech",2018,"budburst",135343,77,77,1,77,77,0,0
"American beech",2018,"budburst",135911,77,77,1,77,77,0,0
"American beech",2018,"Colored leaves",86274,294.416666666667,301.5,12,274,308,34,24.5
"American beech",2018,"Colored leaves",86275,268,268,1,268,268,0,0
"American beech",2018,"Colored leaves",86276,293,296,10,278,307,29,24.25
"American beech",2018,"flowers",86274,299,299,1,299,299,0,0
"American beech",2018,"Fruits",86274,260.666666666667,260,3,259,263,4,2
"American beech",2018,"Fruits",86275,158,158,1,158,158,0,0
"American beech",2018,"Increasing leaf size",86275,126,124,6,122,138,16,3.5
"American beech",2018,"Increasing leaf size",86276,128,125.5,4,123,138,15,4.5
"American beech",2018,"leaf drop",86274,295.8,302.5,10,278,308,30,21.75
"American beech",2018,"leaf drop",86275,268,268,1,268,268,0,0
"American beech",2018,"leaf drop",86276,295.8,302.5,10,278,308,30,21.75
"American beech",2018,"leafout",86274,265,273,26,172,308,136,47
"American beech",2018,"leafout",86275,138.785714285714,137.5,14,122,162,40,22.75
"American beech",2018,"leafout",86276,226.555555555556,258,27,123,307,184,127.5
"American beech",2018,"leafout",135343,126,126,1,126,126,0,0
"American beech",2018,"Recent fruit or seed drop",86274,274,274,1,274,274,0,0
